dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,CMI,8,0.8,1.0,0.888888888888889,0.9375,5,4,0.08414239998091944
LLD,LASSO,8,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.38810660000308417
LLD,Boruta,8,1.0,0.75,0.8571428571428571,1.0,3,4,18.341143400000874
LLD,RF,8,1.0,0.5,0.6666666666666666,1.0,2,4,1.2462417000206187
LLD,QMI-CFS,9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7717624999932013
LLD,QMI-CFS-Classic,9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.40532579997670837
LLD,MI,9,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10729120002361014
LLD,CMI,9,0.6,0.75,0.6666666666666665,0.875,5,4,0.08278189998236485
LLD,LASSO,9,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.398006900009932
LLD,Boruta,9,0.8,1.0,0.888888888888889,0.9375,5,4,27.249793700000737
LLD,RF,9,1.0,0.5,0.6666666666666666,1.0,2,4,1.2302042999945115
LLD,QMI-CFS,10,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7769881999993231
LLD,QMI-CFS-Classic,10,0.4,1.0,0.5714285714285715,0.625,10,4,0.3940631000150461
LLD,MI,10,0.6,0.75,0.6666666666666665,0.875,5,4,0.09469480000552721
LLD,CMI,10,0.6,0.75,0.6666666666666665,0.875,5,4,0.05916209999122657
LLD,LASSO,10,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3855928000120912
LLD,Boruta,10,1.0,1.0,1.0,1.0,4,4,9.618349500000477
LLD,RF,10,1.0,0.5,0.6666666666666666,1.0,2,4,1.2001187999849208
LLD,QMI-CFS,11,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7913112000096589
LLD,QMI-CFS-Classic,11,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.40159540000604466
LLD,MI,11,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10913090000394732
LLD,CMI,11,0.6,0.75,0.6666666666666665,0.875,5,4,0.07143250000081025
LLD,LASSO,11,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.38365709999925457
LLD,Boruta,11,0.8,1.0,0.888888888888889,0.9375,5,4,20.004972700000508
LLD,RF,11,1.0,0.5,0.6666666666666666,1.0,2,4,1.207973899989156
LLD,QMI-CFS,12,0.5,1.0,0.6666666666666666,0.75,8,4,0.7778854999924079
LLD,QMI-CFS-Classic,12,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.38430370000423864
LLD,MI,12,0.8,1.0,0.888888888888889,0.9375,5,4,0.10036650000256486
LLD,CMI,12,0.4,0.5,0.4444444444444445,0.8125,5,4,0.06152190000284463
LLD,LASSO,12,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.40483970000059344
LLD,Boruta,12,1.0,1.0,1.0,1.0,4,4,13.36457039997913
LLD,RF,12,1.0,0.5,0.6666666666666666,1.0,2,4,1.2009719999914523
LLD,QMI-CFS,13,0.5,1.0,0.6666666666666666,0.75,8,4,0.7765128999890294
LLD,QMI-CFS-Classic,13,0.5,1.0,0.6666666666666666,0.75,8,4,0.39061440000659786
LLD,MI,13,0.6,0.75,0.6666666666666665,0.875,5,4,0.10159670002758503
LLD,CMI,13,0.6,0.75,0.6666666666666665,0.875,5,4,0.07787879998795688
LLD,LASSO,13,0.2,1.0,0.33333333333333337,0.0,20,4,0.4017866999784019
LLD,Boruta,13,1.0,1.0,1.0,1.0,4,4,17.662645500007784
LLD,RF,13,1.0,0.5,0.6666666666666666,1.0,2,4,1.232861900003627
LLD,QMI-CFS,14,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7727765000017826
LLD,QMI-CFS-Classic,14,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.388746100012213
LLD,MI,14,0.6,0.75,0.6666666666666665,0.875,5,4,0.10567059999448247
LLD,CMI,14,0.4,0.5,0.4444444444444445,0.8125,5,4,0.08236129998113029
LLD,LASSO,14,0.2,1.0,0.33333333333333337,0.0,20,4,0.3896173999819439
LLD,Boruta,14,1.0,1.0,1.0,1.0,4,4,15.982656899985159
LLD,RF,14,1.0,0.5,0.6666666666666666,1.0,2,4,1.2352007000008598
LLD,QMI-CFS,15,0.5,1.0,0.6666666666666666,0.75,8,4,0.7834611999860499
LLD,QMI-CFS-Classic,15,0.5,1.0,0.6666666666666666,0.75,8,4,0.4023790000064764
LLD,MI,15,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09974299999885261
LLD,CMI,15,0.8,1.0,0.888888888888889,0.9375,5,4,0.08307459999923594
LLD,LASSO,15,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.38228580000577495
LLD,Boruta,15,1.0,1.0,1.0,1.0,4,4,20.505003099999158
LLD,RF,15,1.0,0.5,0.6666666666666666,1.0,2,4,1.1935446999850683
LLD,QMI-CFS,16,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,0.7723308999848086
LLD,QMI-CFS-Classic,16,0.5,1.0,0.6666666666666666,0.75,8,4,0.4180622000130825
LLD,MI,16,0.6,0.75,0.6666666666666665,0.875,5,4,0.10809300001710653
