dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,LASSO,7,0.0702577727230671,0.1709957861316463,3.5128886359777107,0.5298914999875706
LLD,Boruta,7,0.14314349466806853,0.19723156529523456,7.157174733045569,25.76595069997711
LLD,RF,7,0.7544164719256679,0.7513767013942317,37.72082359439735,1.803439499984961
LLD,All-Features,7,0.07313490994837579,0.3092266464953408,3.6567454972359528,0.00798600001144223
LLD,QMI-CFS,8,0.11262067778805251,0.15148448424478256,5.631033889121074,0.9960511999961454
LLD,MI,8,0.848333098268526,0.9100220540727362,42.41665491130547,0.12583400000585243
LLD,CMI,8,0.5817186834881278,0.6113935048789858,29.085934172952093,0.09617090001120232
LLD,LASSO,8,0.026463545337669814,0.3875827888108561,1.3231772668173318,0.4993667000089772
LLD,Boruta,8,0.06490593929110489,0.04644809168529651,3.2452969643929794,54.07754739999655
LLD,RF,8,0.8633580400431926,0.8193981675216273,43.167902000001234,2.667975300020771
LLD,All-Features,8,0.01948111779290551,0.4107989067861018,0.9740558895965726,0.013591700000688434
LLD,QMI-CFS,9,0.11055128488560895,0.39901737776968527,5.527564244004069,1.798700799990911
LLD,MI,9,0.667335303894609,0.7780529152138196,33.366765193062115,0.22474800000782125
LLD,CMI,9,0.4493661017220205,0.5636568755889872,22.46830508497761,0.15748880000319332
LLD,LASSO,9,0.13840161820074215,0.37198660231168057,6.920080909691103,0.8943582999927457
LLD,Boruta,9,0.0815546461996175,0.31416254700327817,4.077732309776988,31.96442120001302
LLD,RF,9,0.692508538756889,0.8502709872080649,34.62542693611318,2.7604128000093624
LLD,All-Features,9,0.13840161820074215,0.37198660231168057,6.920080909691103,0.02136939999763854
LLD,QMI-CFS,10,0.024999998712163185,0.4326140469710821,1.2499999355456592,1.7875345000065863
LLD,MI,10,0.8586708576518185,0.9334334993123813,42.93354288044425,0.22344290002365597
LLD,CMI,10,0.5717376758903576,0.645057823142165,28.586883793088536,0.16412210001726635
LLD,LASSO,10,0.06708104401512793,0.46631774803909415,3.354052200588694,0.9013109999941662
LLD,Boruta,10,0.019347566860346443,0.1813080792105779,0.9673783429689532,61.22997829999076
LLD,RF,10,0.7042763480809011,0.7915346067472261,35.21381740228436,2.7861595999856945
LLD,All-Features,10,0.06936889134628554,0.480892509377164,3.468444567140855,0.015435700013767928
LLD,QMI-CFS,11,0.10058130063979309,0.27961337614032983,5.0290650317382015,1.7936902999936137
LLD,MI,11,0.04313591463257316,0.10521898123329965,2.156795731520818,0.2218490999948699
LLD,CMI,11,0.07482522225204224,0.17650272401095424,3.7412611124150494,0.15631029999349266
LLD,LASSO,11,0.03295537307602192,0.3215570863977949,1.6477686537187075,0.873577699996531
LLD,Boruta,11,0.07364405697035536,0.16815387780410063,3.6822028483336577,45.74166180001339
LLD,RF,11,0.8133427255403309,0.8027211349258988,40.66713627498319,2.768304800003534
LLD,All-Features,11,0.029664485906587323,0.33126043092869134,1.483224295255205,0.015711399988504127
LLD,QMI-CFS,12,0.008107845450511464,0.20036714206807416,0.4053922725053036,1.7914686000149231
LLD,MI,12,0.16259810146057263,0.3528677424375284,8.129905072622137,0.22652100000414066
LLD,CMI,12,0.5738666757337136,0.6534580691436688,28.693333785251014,0.15981029998511076
LLD,LASSO,12,0.048919310455086684,0.4102013806255317,2.445965522632036,0.9010095999983605
LLD,Boruta,12,0.1794347118132682,0.2846196801979116,8.971735590214823,54.353874099993845
LLD,RF,12,0.8487839431623296,0.8701600534939361,42.43919715599452,2.766063099988969
LLD,All-Features,12,0.048919310455086684,0.4102013806255317,2.445965522632036,0.013512699981220067
LLD,QMI-CFS,13,0.05984335031769139,0.2979570880740469,2.992167515734961,1.7990234000026248
LLD,MI,13,0.41062608860162486,0.6234089494731567,20.53130442905468,0.22614990000147372
LLD,CMI,13,0.03708866911472053,0.31530177308125257,1.8544334556433049,0.16084379999665543
LLD,LASSO,13,0.11332892342352086,0.3917558040429165,5.66644617089272,0.9004195999877993
