dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,QMI-CFS (Full),10,0.5,1.0,0.6666666666666666,0.75,8,4,3.7157189000281505
LLD,QMI-CFS (No Bootstrap),10,0.4,1.0,0.5714285714285715,0.625,10,4,0.07944860000861809
LLD,QMI-CFS (Conservative),10,0.5,1.0,0.6666666666666666,0.75,8,4,3.6607514999923296
LLD,QMI-CFS (Precision),10,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.7424383999896236
LLD,QMI-CFS (No Pairwise),10,0.5,1.0,0.6666666666666666,0.75,8,4,1.879553200036753
LLD,QMI-CFS (Full),11,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.645074100000784
LLD,QMI-CFS (No Bootstrap),11,0.4,1.0,0.5714285714285715,0.625,10,4,0.08004850003635511
LLD,QMI-CFS (Conservative),11,0.6666666666666666,1.0,0.8,0.875,6,4,3.6128414000268094
LLD,QMI-CFS (Precision),11,0.8,1.0,0.888888888888889,0.9375,5,4,3.611940900038462
LLD,QMI-CFS (No Pairwise),11,0.6666666666666666,1.0,0.8,0.875,6,4,1.9277596999891102
LLD,QMI-CFS (Full),12,0.6666666666666666,1.0,0.8,0.875,6,4,3.5965190999559127
LLD,QMI-CFS (No Bootstrap),12,0.4,1.0,0.5714285714285715,0.625,10,4,0.0790992000256665
LLD,QMI-CFS (Conservative),12,0.6666666666666666,1.0,0.8,0.875,6,4,3.571068799996283
LLD,QMI-CFS (Precision),12,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.640545300033409
LLD,QMI-CFS (No Pairwise),12,0.6666666666666666,1.0,0.8,0.875,6,4,1.8913910000119358
LLD,QMI-CFS (Full),13,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.679347500030417
LLD,QMI-CFS (No Bootstrap),13,0.4,1.0,0.5714285714285715,0.625,10,4,0.08132300002034754
LLD,QMI-CFS (Conservative),13,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.664154600002803
LLD,QMI-CFS (Precision),13,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.4947118000127375
LLD,QMI-CFS (No Pairwise),13,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8427291000261903
LLD,QMI-CFS (Full),14,0.6666666666666666,1.0,0.8,0.875,6,4,3.539694099978078
LLD,QMI-CFS (No Bootstrap),14,0.4,1.0,0.5714285714285715,0.625,10,4,0.0944145999965258
LLD,QMI-CFS (Conservative),14,0.6666666666666666,1.0,0.8,0.875,6,4,3.6465351000078954
LLD,QMI-CFS (Precision),14,0.6666666666666666,1.0,0.8,0.875,6,4,3.552688899973873
LLD,QMI-CFS (No Pairwise),14,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8674785000039265
LLD,QMI-CFS (Full),15,0.5,1.0,0.6666666666666666,0.75,8,4,3.598369899962563
LLD,QMI-CFS (No Bootstrap),15,0.4,1.0,0.5714285714285715,0.625,10,4,0.08323879999807104
LLD,QMI-CFS (Conservative),15,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5363944999990053
LLD,QMI-CFS (Precision),15,0.5,1.0,0.6666666666666666,0.75,8,4,3.4929657999891788
LLD,QMI-CFS (No Pairwise),15,0.5,1.0,0.6666666666666666,0.75,8,4,1.8579865000210702
LLD,QMI-CFS (Full),16,0.5,1.0,0.6666666666666666,0.75,8,4,3.556437499995809
LLD,QMI-CFS (No Bootstrap),16,0.4,1.0,0.5714285714285715,0.625,10,4,0.0782193000195548
LLD,QMI-CFS (Conservative),16,0.5,1.0,0.6666666666666666,0.75,8,4,3.497648900025524
LLD,QMI-CFS (Precision),16,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5610730999615043
LLD,QMI-CFS (No Pairwise),16,0.5,1.0,0.6666666666666666,0.75,8,4,1.8997171000228263
LLD,QMI-CFS (Full),17,0.5,1.0,0.6666666666666666,0.75,8,4,3.5947440000018105
LLD,QMI-CFS (No Bootstrap),17,0.4,1.0,0.5714285714285715,0.625,10,4,0.08280070003820583
LLD,QMI-CFS (Conservative),17,0.5,1.0,0.6666666666666666,0.75,8,4,3.5384102999814786
LLD,QMI-CFS (Precision),17,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5404129999806173
LLD,QMI-CFS (No Pairwise),17,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8444428999791853
LLD,QMI-CFS (Full),18,0.6666666666666666,1.0,0.8,0.875,6,4,3.554995200014673
LLD,QMI-CFS (No Bootstrap),18,0.4,1.0,0.5714285714285715,0.625,10,4,0.09412439999869093
LLD,QMI-CFS (Conservative),18,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.506619599997066
LLD,QMI-CFS (Precision),18,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.484261700010393
LLD,QMI-CFS (No Pairwise),18,0.6666666666666666,1.0,0.8,0.875,6,4,1.8419965000357479
LLD,QMI-CFS (Full),19,0.5,1.0,0.6666666666666666,0.75,8,4,3.51977169996826
LLD,QMI-CFS (No Bootstrap),19,0.4,1.0,0.5714285714285715,0.625,10,4,0.09943390003172681
LLD,QMI-CFS (Conservative),19,0.5,1.0,0.6666666666666666,0.75,8,4,3.4563741000019945
LLD,QMI-CFS (Precision),19,0.3333333333333333,0.75,0.46153846153846156,0.625,9,4,3.4872328999917954
LLD,QMI-CFS (No Pairwise),19,0.5,1.0,0.6666666666666666,0.75,8,4,1.8357342000235803
LLD,QMI-CFS (Full),20,0.5,1.0,0.6666666666666666,0.75,8,4,3.4759858999750577
LLD,QMI-CFS (No Bootstrap),20,0.4,1.0,0.5714285714285715,0.625,10,4,0.08612539997557178
LLD,QMI-CFS (Conservative),20,0.5,1.0,0.6666666666666666,0.75,8,4,3.491749799984973
LLD,QMI-CFS (Precision),20,0.5,1.0,0.6666666666666666,0.75,8,4,3.528596199990716
LLD,QMI-CFS (No Pairwise),20,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8255997000378557
LLD,QMI-CFS (Full),21,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.470060299965553
LLD,QMI-CFS (No Bootstrap),21,0.4,1.0,0.5714285714285715,0.625,10,4,0.08323930000187829
LLD,QMI-CFS (Conservative),21,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.50334329996258
LLD,QMI-CFS (Precision),21,0.5,1.0,0.6666666666666666,0.75,8,4,3.471952499996405
LLD,QMI-CFS (No Pairwise),21,0.4,1.0,0.5714285714285715,0.625,10,4,1.8589741000323556
LLD,QMI-CFS (Full),22,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5712059999932535
LLD,QMI-CFS (No Bootstrap),22,0.4,1.0,0.5714285714285715,0.625,10,4,0.09102359996177256
LLD,QMI-CFS (Conservative),22,0.5,1.0,0.6666666666666666,0.75,8,4,3.4673972000018694
LLD,QMI-CFS (Precision),22,0.5,1.0,0.6666666666666666,0.75,8,4,3.495606900018174
LLD,QMI-CFS (No Pairwise),22,0.5,1.0,0.6666666666666666,0.75,8,4,1.8430058999801986
LLD,QMI-CFS (Full),23,0.5,1.0,0.6666666666666666,0.75,8,4,3.530192900041584
LLD,QMI-CFS (No Bootstrap),23,0.4,1.0,0.5714285714285715,0.625,10,4,0.08341520000249147
LLD,QMI-CFS (Conservative),23,0.5,1.0,0.6666666666666666,0.75,8,4,3.4873910999740474
LLD,QMI-CFS (Precision),23,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5249234000220895
LLD,QMI-CFS (No Pairwise),23,0.5,1.0,0.6666666666666666,0.75,8,4,1.8547025000443682
LLD,QMI-CFS (Full),24,0.5,1.0,0.6666666666666666,0.75,8,4,3.513184200040996
LLD,QMI-CFS (No Bootstrap),24,0.4,1.0,0.5714285714285715,0.625,10,4,0.08965179999358952
LLD,QMI-CFS (Conservative),24,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.534767900011502
LLD,QMI-CFS (Precision),24,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.574338899983559
LLD,QMI-CFS (No Pairwise),24,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8734549999935552
LLD,QMI-CFS (Full),25,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5011448999866843
LLD,QMI-CFS (No Bootstrap),25,0.4,1.0,0.5714285714285715,0.625,10,4,0.08179179998114705
LLD,QMI-CFS (Conservative),25,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.4948354000225663
LLD,QMI-CFS (Precision),25,0.5,1.0,0.6666666666666666,0.75,8,4,3.495226100028958
LLD,QMI-CFS (No Pairwise),25,0.5,1.0,0.6666666666666666,0.75,8,4,1.8059872000012547
LLD,QMI-CFS (Full),26,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.4902565000229515
LLD,QMI-CFS (No Bootstrap),26,0.4,1.0,0.5714285714285715,0.625,10,4,0.08295899996301159
LLD,QMI-CFS (Conservative),26,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5259563999716192
LLD,QMI-CFS (Precision),26,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.49720119999256
LLD,QMI-CFS (No Pairwise),26,0.6666666666666666,1.0,0.8,0.875,6,4,1.8788073000032455
LLD,QMI-CFS (Full),27,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5018380000256
LLD,QMI-CFS (No Bootstrap),27,0.4,1.0,0.5714285714285715,0.625,10,4,0.09708119998686016
LLD,QMI-CFS (Conservative),27,0.5,1.0,0.6666666666666666,0.75,8,4,3.522960599977523
LLD,QMI-CFS (Precision),27,0.5,1.0,0.6666666666666666,0.75,8,4,3.5218648000154644
LLD,QMI-CFS (No Pairwise),27,0.5,1.0,0.6666666666666666,0.75,8,4,1.8591496999724768
LLD,QMI-CFS (Full),28,0.5,1.0,0.6666666666666666,0.75,8,4,3.6718360999948345
LLD,QMI-CFS (No Bootstrap),28,0.4,1.0,0.5714285714285715,0.625,10,4,0.07921440002974123
LLD,QMI-CFS (Conservative),28,0.5,1.0,0.6666666666666666,0.75,8,4,3.5716548999771476
LLD,QMI-CFS (Precision),28,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.6283973999670707
LLD,QMI-CFS (No Pairwise),28,0.5,1.0,0.6666666666666666,0.75,8,4,1.8937805999885313
LLD,QMI-CFS (Full),29,0.5,1.0,0.6666666666666666,0.75,8,4,3.595892900018953
LLD,QMI-CFS (No Bootstrap),29,0.4,1.0,0.5714285714285715,0.625,10,4,0.08615310001187027
LLD,QMI-CFS (Conservative),29,0.5,1.0,0.6666666666666666,0.75,8,4,3.4715305999852717
LLD,QMI-CFS (Precision),29,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5712315000128
LLD,QMI-CFS (No Pairwise),29,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8572492000530474
LLD,QMI-CFS (Full),30,0.5,1.0,0.6666666666666666,0.75,8,4,3.592450900003314
LLD,QMI-CFS (No Bootstrap),30,0.4,1.0,0.5714285714285715,0.625,10,4,0.08074279996799305
LLD,QMI-CFS (Conservative),30,0.5,1.0,0.6666666666666666,0.75,8,4,3.597172900044825
LLD,QMI-CFS (Precision),30,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5916152999852784
LLD,QMI-CFS (No Pairwise),30,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.9245831000152975
LLD,QMI-CFS (Full),31,0.5,1.0,0.6666666666666666,0.75,8,4,3.6660837999661453
LLD,QMI-CFS (No Bootstrap),31,0.4,1.0,0.5714285714285715,0.625,10,4,0.08073410001816228
LLD,QMI-CFS (Conservative),31,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.658654500031844
LLD,QMI-CFS (Precision),31,0.5,1.0,0.6666666666666666,0.75,8,4,3.662921000039205
LLD,QMI-CFS (No Pairwise),31,0.6666666666666666,1.0,0.8,0.875,6,4,1.9764776999945752
LLD,QMI-CFS (Full),32,0.5,1.0,0.6666666666666666,0.75,8,4,3.585827699978836
LLD,QMI-CFS (No Bootstrap),32,0.4,1.0,0.5714285714285715,0.625,10,4,0.09600329998647794
LLD,QMI-CFS (Conservative),32,0.5,1.0,0.6666666666666666,0.75,8,4,3.6045049000531435
LLD,QMI-CFS (Precision),32,0.5,0.75,0.6,0.8125,6,4,4.097408699977677
LLD,QMI-CFS (No Pairwise),32,0.5,1.0,0.6666666666666666,0.75,8,4,1.851427200017497
LLD,QMI-CFS (Full),33,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5722627000068314
LLD,QMI-CFS (No Bootstrap),33,0.4,1.0,0.5714285714285715,0.625,10,4,0.0906105000176467
LLD,QMI-CFS (Conservative),33,0.6666666666666666,1.0,0.8,0.875,6,4,3.5150703000253998
LLD,QMI-CFS (Precision),33,0.5,1.0,0.6666666666666666,0.75,8,4,3.523863899987191
LLD,QMI-CFS (No Pairwise),33,0.5,1.0,0.6666666666666666,0.75,8,4,1.8743399999802932
LLD,QMI-CFS (Full),34,0.5,1.0,0.6666666666666666,0.75,8,4,3.5370959999854676
LLD,QMI-CFS (No Bootstrap),34,0.4,1.0,0.5714285714285715,0.625,10,4,0.08607290004147217
LLD,QMI-CFS (Conservative),34,0.5,1.0,0.6666666666666666,0.75,8,4,3.49665049999021
LLD,QMI-CFS (Precision),34,0.5,1.0,0.6666666666666666,0.75,8,4,3.5795488000148907
LLD,QMI-CFS (No Pairwise),34,0.5,1.0,0.6666666666666666,0.75,8,4,1.9093195999739692
LLD,QMI-CFS (Full),35,0.5,1.0,0.6666666666666666,0.75,8,4,3.580245399964042
LLD,QMI-CFS (No Bootstrap),35,0.4,1.0,0.5714285714285715,0.625,10,4,0.1046953999903053
LLD,QMI-CFS (Conservative),35,0.5,1.0,0.6666666666666666,0.75,8,4,3.54594530002214
LLD,QMI-CFS (Precision),35,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5484601000207476
LLD,QMI-CFS (No Pairwise),35,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8425650999997742
LLD,QMI-CFS (Full),36,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.6000362999620847
LLD,QMI-CFS (No Bootstrap),36,0.4,1.0,0.5714285714285715,0.625,10,4,0.08673270000144839
