n_samples,method,replication,f1,ate_error,runtime
100,All-Features,9,0.5,0.30415650117491344,0.0035739000304602087
100,QMI-CFS,10,0.3636363636363636,1.3417735716298393,2.269868300005328
100,MI,10,0.4000000000000001,1.4239536925914718,0.03973040002165362
100,CMI,10,0.6,1.0369221717470047,0.031210799992550164
100,LASSO,10,0.5882352941176471,0.24131147937294362,0.1266491999849677
100,Boruta,10,0.5714285714285715,1.3212788575994976,28.196940699999686
100,RF,10,0.5714285714285715,0.9679866304584039,1.076357200043276
100,All-Features,10,0.5,0.2636809807335827,0.003341600007843226
100,QMI-CFS,11,0.7272727272727272,0.5730138225005401,2.207908699987456
100,MI,11,0.6,0.9784968604367221,0.03871170000638813
100,CMI,11,0.6,0.9335112955523535,0.027305099996738136
100,LASSO,11,0.5,0.32740813755426457,0.12741220003226772
100,Boruta,11,0.8000000000000002,0.5428556981829709,14.016768099972978
100,RF,11,0.5714285714285715,1.397736083502914,1.0843583999667317
100,All-Features,11,0.5,0.32740813755426457,0.004491399973630905
100,QMI-CFS,12,0.3333333333333333,0.981000956457962,2.2392594999982975
100,MI,12,0.20000000000000004,1.4640779472863206,0.04557429999113083
100,CMI,12,0.20000000000000004,1.3448563040638883,0.03270979999797419
100,LASSO,12,0.5,0.14555140521787813,0.1382276999647729
100,Boruta,12,0.33333333333333337,1.1600558168113109,26.743547300051432
100,RF,12,0.5714285714285715,0.7491770141516412,1.422477499989327
100,All-Features,12,0.5,0.14555140521787813,0.004842299968004227
100,QMI-CFS,13,0.20000000000000004,1.8812606997788852,2.2422055000206456
100,MI,13,0.0,1.7408973470634548,0.03823770000599325
100,CMI,13,0.6,1.1522542283239545,0.02618430001894012
100,LASSO,13,0.5882352941176471,0.4733947696376628,0.13417410000693053
100,Boruta,13,0.5,0.8524386156107773,10.721010800043587
100,RF,13,0.5714285714285715,0.9636311088408842,1.0089066000073217
100,All-Features,13,0.5,0.623439350809265,0.0030372999608516693
100,QMI-CFS,14,0.4000000000000001,0.6370028969974242,2.224434600037057
100,MI,14,0.4000000000000001,1.084466330945737,0.03966499998932704
100,CMI,14,0.4000000000000001,1.156219527736086,0.026530100032687187
100,LASSO,14,0.5263157894736842,0.09307334213707463,0.15232100000139326
100,Boruta,14,0.5,0.8712089130221687,20.751728900009766
100,RF,14,0.5714285714285715,1.0760272478852606,2.1617013000068255
100,All-Features,14,0.5,0.07055117018812984,0.007361500000115484
100,QMI-CFS,15,0.4444444444444445,1.0646841392203839,2.949875799997244
100,MI,15,0.6,0.7897602340071641,0.03388469998026267
100,CMI,15,0.4000000000000001,1.2305946174549818,0.01946839998709038
100,LASSO,15,0.5,0.34908523824355875,0.09598589997040108
100,Boruta,15,0.5,1.0490234599437862,32.80114799999865
100,RF,15,0.5714285714285715,0.867710923145415,1.1656278999871574
100,All-Features,15,0.5,0.34908523824355875,0.003837500000372529
100,QMI-CFS,16,0.3636363636363636,0.8305217434257033,2.2957969999988563
100,MI,16,0.4000000000000001,0.37559063476870014,0.03922500001499429
100,CMI,16,0.6,0.8020695253775982,0.026561600039713085
100,LASSO,16,0.5,0.0985123440518958,0.13304990000324324
100,Boruta,16,0.33333333333333337,0.7408615553968065,19.92486980004469
100,RF,16,0.5714285714285715,0.48031539034255655,1.0823376999469474
100,All-Features,16,0.5,0.0985123440518958,0.0035646999604068696
100,QMI-CFS,17,0.6666666666666665,1.063111997134269,2.2653030999936163
100,MI,17,0.6,1.0695999497104283,0.040196799964178354
100,CMI,17,0.4000000000000001,1.8755699776089023,0.0307281999848783
100,LASSO,17,0.5263157894736842,0.0587170759486515,0.16007359995273873
100,Boruta,17,0.7499999999999999,1.0610127520635113,29.169757499999832
100,RF,17,0.5714285714285715,1.5413405922881016,1.0496137000154704
100,All-Features,17,0.5,0.05782849239344423,0.006362499960232526
100,QMI-CFS,18,0.6153846153846154,0.0831307573504716,2.2774033000459895
100,MI,18,0.6,0.19063284566063254,0.04641720000654459
100,CMI,18,0.8000000000000002,0.012879648395733634,0.04099919996224344
