dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
HDS,QMI-CFS,16,0.5527693555199498,1.1499835615814862,55.276935546467286,5.297669799998403
HDS,QMI-CFS,17,0.569100989008718,1.0567190002770204,56.91009889518078,5.252295700018294
HDS,QMI-CFS,18,0.33151745749116124,0.8221739738116183,33.151745745800945,5.312165700015612
HDS,QMI-CFS,19,0.7023127894638359,1.2228066955859869,70.23127893936046,5.201651900017168
HDS,QMI-CFS,20,0.6673316869639683,1.173383720874164,66.73316868972351,5.445454100030474
HDS,QMI-CFS,21,0.651566613398683,1.198370303720398,65.15666133335264,5.1758697999757715
HDS,QMI-CFS,22,0.7615032332931928,1.1454168706182846,76.15032332170425,5.256703599996399
HDS,QMI-CFS,23,0.424118459867435,1.0794824927138642,42.411845982502314,5.2102732000057586
HDS,QMI-CFS,24,0.780781169738824,1.1605877094753667,78.07811696607459,5.229419599985704
HDS,QMI-CFS,25,0.6368677625775776,1.0779752962317692,63.68677625138908,5.404690199997276
HDS,QMI-CFS,26,0.33109430304889464,1.1570250108199214,33.10943030157852,5.218735500006005
HDS,QMI-CFS,27,0.6053810089822855,1.1145534539941377,60.53810089217474,5.286988799984101
HDS,QMI-CFS,28,0.6307231193037328,1.1107791658933008,63.07231192406605,5.288506500015501
HDS,QMI-CFS,29,0.6179840147506084,1.146901359123689,61.79840146888099,5.380203199980315
CC,QMI-CFS,0,0.24767368796995815,0.893034082150881,12.383684397878723,1.3107312999782152
CC,QMI-CFS,1,0.4698368864487197,1.0479720839669528,23.491844321261393,1.3409622000181116
CC,QMI-CFS,2,0.20633273424529586,1.0812674345166504,10.316636711748961,1.3016973999910988
CC,QMI-CFS,3,0.624055813155135,1.1380088578496175,31.202790656196612,1.311457000032533
CC,QMI-CFS,4,0.2183364138249977,0.851154377167856,10.916820690704043,1.264528399973642
CC,QMI-CFS,5,0.2714783897158233,1.0725968235822037,13.573919485112468,1.2616413000505418
CC,QMI-CFS,6,0.4584586656089087,1.0079777425599077,22.922933279299286,1.3648038000101224
CC,QMI-CFS,7,0.4610801495147352,1.1617839950354125,23.05400747458406,1.3279471999849193
CC,QMI-CFS,8,0.38376153470529806,1.1480847670392604,19.188076734305497,1.3217178999911994
CC,QMI-CFS,9,0.4388602438629414,1.0388366979706747,21.94301219204992,1.3810009000007994
CC,QMI-CFS,10,0.5742971165347983,1.2931208049425191,28.714855825304177,1.3017896000528708
CC,QMI-CFS,11,0.2923902657918478,1.038986794375097,14.619513288861413,1.3398177999770269
CC,QMI-CFS,12,0.1892211209380048,1.2055657080547995,9.461056046427188,1.3145128000178374
CC,QMI-CFS,13,0.42359093070621157,0.8944048448132866,21.1795465342516,1.3584034999948926
CC,QMI-CFS,14,0.8795043319914919,1.4010770188325137,43.975216597375834,1.3118945000460371
CC,QMI-CFS,15,0.3242403936159528,0.9855429368669741,16.212019679987037,1.3101221999968402
CC,QMI-CFS,16,0.19737599020292684,1.0018589695967601,9.868799509652902,1.2617580000078306
CC,QMI-CFS,17,0.9047296390264439,1.2531990785422422,45.23648194906037,1.3834183999570087
CC,QMI-CFS,18,0.3459589002857668,0.956379005464771,17.297945013423444,1.3327849000343122
CC,QMI-CFS,19,0.4697556709215873,0.9536251420084972,23.48778354490498,1.4240626000100747
CC,QMI-CFS,20,0.13607028648140052,0.9122328797426329,6.803514323729851,1.261216000013519
CC,QMI-CFS,21,0.04276085111841921,0.856679626947425,2.1380425558140583,1.3122380000422709
CC,QMI-CFS,22,0.5023981610483896,1.1612490002183353,25.119908051163485,1.2877976999734528
CC,QMI-CFS,23,0.330821622601122,1.0790325394948068,16.541081129229045,1.295337300049141
CC,QMI-CFS,24,0.21815615677020572,0.9451278316548701,10.907807837964896,1.2785129999974743
CC,QMI-CFS,25,0.24099264922714525,0.8735461049396482,12.049632460754781,1.3379771000472829
CC,QMI-CFS,26,0.47486233332845096,1.088217905628852,23.74311666523539,1.3350147000164725
CC,QMI-CFS,27,0.29076047230351776,1.2135789406361044,14.538023614448987,1.2831644000252709
CC,QMI-CFS,28,0.30832996857729,0.927927004245329,15.416498428093675,1.363668400037568
CC,QMI-CFS,29,0.6233689743748174,1.2572298733774268,31.16844871718245,1.298660899978131
WC,QMI-CFS,0,0.02049648771755397,0.506006058307668,2.049648771550432,1.0601211999892257
WC,QMI-CFS,1,0.006466094302560732,0.4708519892107479,0.6466094301914123,1.1045962000498548
WC,QMI-CFS,2,0.13651257185464716,0.49472002884243393,13.651257184099592,1.1122019999893382
WC,QMI-CFS,3,0.2962497292144146,0.5461238745662634,29.624972918478964,1.0508206999511458
WC,QMI-CFS,4,0.053849970999509056,0.5622539974445063,5.384997099412406,1.0501122999703512
WC,QMI-CFS,5,0.017427502774702508,0.529585155409361,1.7427502772959755,1.0800711999763735
WC,QMI-CFS,6,0.16093847474030998,0.5445409054813181,16.09384747242161,1.0503313000081107
WC,QMI-CFS,7,0.20577405640140545,0.5133515750112785,20.577405638082805,1.1012793999980204
WC,QMI-CFS,8,0.11780988146255822,0.46637240168572136,11.780988145077723,1.1077565999585204
WC,QMI-CFS,9,0.051495527963022036,0.5244489109173065,5.1495527957872484,1.1208346000057645
WC,QMI-CFS,10,0.23865061291974654,0.6232925224082134,23.865061289588148,1.119310999987647
WC,QMI-CFS,11,0.06915386079406016,0.48899309762187015,6.915386078714477,1.069907900004182
WC,QMI-CFS,12,0.1366793544147663,0.5502570600707106,13.667935440109838,1.0635453999857418
WC,QMI-CFS,13,0.07280007909972586,0.4733077431023941,7.280007909244585,1.1289961999864317
WC,QMI-CFS,14,0.21014959937340527,0.46499614409912654,21.01495993523903,1.217890800035093
WC,QMI-CFS,15,0.20147741827369914,0.5842663333915759,20.14774182535514,1.0618567999918014
WC,QMI-CFS,16,0.13534000230647125,0.4695186459977772,13.534000229293724,1.1004556000116281
WC,QMI-CFS,17,0.05228039406453444,0.5213016753860965,5.22803940593064,1.2197463000193238
WC,QMI-CFS,18,0.020238902325736663,0.4987562828136992,2.023890232371277,1.18899389996659
WC,QMI-CFS,19,0.12003576201205868,0.5334338114226096,12.00357620000551,1.0823796999757178
WC,QMI-CFS,20,0.054279032587682186,0.5096086135017307,5.427903258225428,1.0935615000198595
WC,QMI-CFS,21,0.008699865956783293,0.537448011675655,0.8699865955913306,1.2129474999965169
WC,QMI-CFS,22,0.24169497846327526,0.6282417755316473,24.169497843910577,1.0714866000344045
WC,QMI-CFS,23,0.1419683589754701,0.5024378472946359,14.196835896127327,1.1265554000274278
WC,QMI-CFS,24,0.002758949133768507,0.5439558768145432,0.2758949133492612,1.0848344000405632
WC,QMI-CFS,25,0.13870935135930496,0.458538499819242,13.870935134543402,1.2076446000137366
WC,QMI-CFS,26,0.1217964550937245,0.5566720514195534,12.179645508154485,1.074066800007131
WC,QMI-CFS,27,0.060537023820298685,0.4849323864185116,6.053702381424498,1.121442699979525
WC,QMI-CFS,28,0.11330122407295318,0.6071612833226983,11.330122406162307,1.0945100000244565
WC,QMI-CFS,29,0.041370882016896315,0.5238489804951182,4.1370882012759225,1.1052436999743804
IC,QMI-CFS,0,1.6776448379875033,2.016162059406443,83.88224189518105,1.3618190999841318
IC,QMI-CFS,1,1.9737161740474019,2.225025523650117,98.6858086974358,1.3670746000134386
IC,QMI-CFS,2,1.7838362663716056,2.3321064211370395,89.1918133141207,1.3049197000218555
IC,QMI-CFS,3,1.8568461656526734,2.169445242302438,92.84230827799155,1.3301835000165738
IC,QMI-CFS,4,2.01544505200141,2.2503604943650783,100.77225259503189,1.33146499999566
IC,QMI-CFS,5,1.79981671090464,1.9274425706619744,89.99083554073245,1.2790898000239395
IC,QMI-CFS,6,1.861626630657931,2.1773356774768042,93.08133152824249,1.317111600015778
IC,QMI-CFS,7,1.6963863657565375,2.0826534885526975,84.81931828358591,1.3014284999808297
IC,QMI-CFS,8,2.201330747313457,2.4423262859489783,110.06653736016952,1.3223738999804482
IC,QMI-CFS,9,1.5862910896323403,1.9479139053166865,79.31455447765128,1.2657750000362284
IC,QMI-CFS,10,2.1263199267334274,2.3953768228912433,106.31599633135558,1.4090808000182733
IC,QMI-CFS,11,1.806555206984425,2.0454053571201793,90.32776034470487,1.2886099999886937
IC,QMI-CFS,12,2.502225641909459,2.6958876360287083,125.11128208921738,1.3875961999874562
IC,QMI-CFS,13,1.714156268630565,2.042929059535129,85.70781342724285,1.2779393999953754
IC,QMI-CFS,14,2.075239052409998,2.6789712288166405,103.7619526153118,1.3089435000438243
IC,QMI-CFS,15,2.4424505399360568,2.707004712309943,122.1225269906967,1.3780870999908075
IC,QMI-CFS,16,2.2983160177993742,2.5960060994974024,114.91580088422293,1.2735181999742053
IC,QMI-CFS,17,1.9805856680132075,2.2677031312132554,99.02928339570892,1.3902882999973372
IC,QMI-CFS,18,2.093237158071325,2.3360025829593636,104.66185789833315,1.4086758999619633
IC,QMI-CFS,19,1.8673316996579334,2.026367242785521,93.36658497822835,1.3022686999756843
IC,QMI-CFS,20,1.6789157340455199,2.009558318689984,83.9457866980787,1.36463470000308
IC,QMI-CFS,21,2.062396020176167,2.4830869355209013,103.11980100365237,1.357655200001318
IC,QMI-CFS,22,1.76868660410573,2.0575537945651665,88.43433020086479,1.4104717999580316
IC,QMI-CFS,23,2.402735475240674,2.6519281288288883,120.13677375602687,1.3369207000359893
IC,QMI-CFS,24,1.9401143924456994,2.600980957440488,97.00571961743468,1.3528089000028558
IC,QMI-CFS,25,1.9558681243849807,2.4187250894603864,97.79340621435936,1.4628080999827944
IC,QMI-CFS,26,1.992411085156025,2.2967433740006724,99.62055425282023,1.315964100009296
IC,QMI-CFS,27,1.9506187776749302,2.3473437236977666,97.53093887886996,1.3598512000171468
IC,QMI-CFS,28,2.0671153466424546,2.4173861476441236,103.35576732695493,1.263836199999787
IC,QMI-CFS,29,2.0714952754607667,2.513019158211261,103.5747637678596,1.3094429000047967
