baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,p_value_corrected,reject,significance
QMI-CFS,MI,0.077993117993118,0.1282051282051282,30,142.0,0.06237038018514173,9.86211996861959e-06,True,***
QMI-CFS,CMI,-0.4442291042291042,-0.5,30,0.0,1.5529904998188716e-06,1.0870933498732101e-05,True,***
QMI-CFS,LASSO,-0.018379645523608365,0.0,30,139.5,0.5358246695523186,9.86211996861959e-06,True,***
QMI-CFS,Boruta,0.11132645132645133,0.07828282828282829,30,90.0,0.0033368640553975383,9.86211996861959e-06,True,***
QMI-CFS,RF,-0.3664513264513264,-0.4545454545454546,30,0.0,1.6436866614365985e-06,9.86211996861959e-06,True,***
QMI-CFS,All-Features,0.2970407370407371,0.28571428571428575,30,0.0,1.465570246450857e-06,1.3190132218057714e-05,True,***
QMI-CFS,HSIC-Med,-0.22200688200688204,-0.16666666666666663,30,33.0,3.8802722708181466e-05,9.86211996861959e-06,True,***
QMI-CFS,HSIC-CV,-0.31089577089577086,-0.2857142857142857,30,11.0,5.010609666063845e-06,9.86211996861959e-06,True,***
QMI-CFS,HSIC-Lasso,-0.4886735486735487,-0.5,30,0.0,1.465570246450857e-06,1.1724561971606856e-05,True,***
